Sale ID,Date,Item ID,Batch ID,Product Type,Species,Grade,Finish,Dominant Color,Color Count (#),Customer Type,Customer Name,Country,City,Channel,Lead Source,Price (CAD),Discount (CAD),Shipping (CAD),Taxes Collected (CAD),Payment Method,COA #,Shipped Date,Consignment? (Y/N),Consignment Owner,Export Permit (PDF link),length,width,weight,,,,,,,,
S-0014,2025-05-30,I-0014,B-2025-014,Gemstone,Topaz,AA,Coated,Red,2,Retail Collector,Customer 13,USA,Los Angeles,Online,Instagram,550.58,37.11,14.09,66.07,Credit Card,COA-5013,2025-02-19 00:00:00,N,,https://example.com/export_permit_13.pdf,14.89,3.19,7.73,,,,,,,,
S-0015,2025-11-05,I-0015,B-2025-015,Gemstone,Topaz,A,Coated,Orange,2,Retail Collector,Customer 14,Canada,Calgary,Wholesale,Walk-in,391.02,17.54,33.04,46.92,Credit Card,COA-5014,2025-02-16 00:00:00,N,,https://example.com/export_permit_14.pdf,7.06,8.75,12.74,,,,,,,,
S-0016,2025-09-15,I-0016,B-2025-016,Gemstone,Garnet,AA,Coated,Green,1,Retail Collector,Customer 15,USA,New York,Wholesale,Referral,321.73,43.98,15.29,38.61,Credit Card,COA-5015,2025-03-24 00:00:00,Y,NorthArt,https://example.com/export_permit_15.pdf,13.87,3.21,12.89,,,,,,,,
S-0017,2025-10-21,I-0017,B-2025-017,Gemstone,Garnet,AA,Coated,Red,3,Gallery,Customer 16,USA,Seattle,Wholesale,Referral,452.9,26.41,27.42,54.35,PayPal,COA-5016,2025-07-22 00:00:00,Y,NorthArt,https://example.com/export_permit_16.pdf,11.44,11.85,8.78,,,,,,,,
S-0018,2025-07-11,I-0018,B-2025-018,Gemstone,Opal,A,Coated,Orange,1,Gallery,Customer 17,Canada,Calgary,Online,Walk-in,227.55,10.11,19.42,27.31,Bank Transfer,COA-5017,2025-07-10 00:00:00,N,,https://example.com/export_permit_17.pdf,2.31,3.41,8.57,,,,,,,,
S-0019,2025-10-04,I-0019,B-2025-019,Gemstone,Topaz,A,Coated,Orange,2,Gallery,Customer 18,USA,New York,Online,Walk-in,493.47,32.55,39.13,59.22,PayPal,COA-5018,2025-05-09 00:00:00,Y,NorthArt,https://example.com/export_permit_18.pdf,3.42,11.6,19.12,,,,,,,,
S-0020,2025-06-10,I-0020,B-2025-020,Gemstone,Quartz,AAA,Coated,Purple,4,Retail Collector,Customer 19,Canada,Vancouver,Online,Referral,672.53,33.95,36.37,80.7,Bank Transfer,COA-5019,2025-08-15 00:00:00,Y,GemWorld,https://example.com/export_permit_19.pdf,4.58,11.44,19.81,,,,,,,,
S-0021,2025-11-10,I-0021,B-2025-021,Gemstone,Quartz,A,Coated,Orange,4,Gallery,Customer 20,USA,Los Angeles,In-Person,Referral,277.55,41.11,23.64,33.31,PayPal,COA-5020,2025-05-10 00:00:00,Y,NorthArt,https://example.com/export_permit_20.pdf,7.37,2.46,19.12,,,,,,,,
S-0022,2025-01-22,I-0022,B-2025-022,Gemstone,Opal,A,Coated,Green,1,Retail Collector,Customer 21,USA,Portland,In-Person,Referral,254.22,43.02,33.9,30.51,Credit Card,COA-5021,2025-02-07 00:00:00,N,,https://example.com/export_permit_21.pdf,7.26,2.92,1.58,,,,,,,,
S-0023,2025-09-10,I-0023,B-2025-023,Gemstone,Spinel,AA,Coated,Red,4,Gallery,Customer 22,Canada,Vancouver,In-Person,Instagram,510.94,28.82,12.86,61.31,Bank Transfer,COA-5022,2025-11-28 00:00:00,Y,GemWorld,https://example.com/export_permit_22.pdf,10.09,3.97,7.71,,,,,,,,
S-0024,2025-08-24,I-0024,B-2025-024,Gemstone,Quartz,A,Coated,Orange,1,Retail Collector,Customer 23,USA,Portland,Online,Referral,754.55,30,34.14,90.55,PayPal,COA-5023,2025-02-26 00:00:00,Y,NorthArt,https://example.com/export_permit_23.pdf,2.86,9.39,2.33,,,,,,,,
S-0025,2025-02-18,I-0025,B-2025-025,Gemstone,Quartz,A,Coated,Orange,3,Gallery,Customer 24,Canada,Calgary,In-Person,Walk-in,575.2,41.91,6.03,69.02,Bank Transfer,COA-5024,2025-08-04 00:00:00,N,,https://example.com/export_permit_24.pdf,3.33,3.75,5.55,,,,,,,,
S-0026,2025-02-28,I-0026,B-2025-026,Gemstone,Spinel,A,Coated,Orange,4,Gallery,Customer 25,Canada,Vancouver,Online,Instagram,555.71,19.29,20.26,66.69,PayPal,COA-5025,2025-03-25 00:00:00,N,,https://example.com/export_permit_25.pdf,6.67,2.91,5.43,,,,,,,,
S-0027,2025-06-19,I-0027,B-2025-027,Gemstone,Garnet,AA,Coated,Green,4,Retail Collector,Customer 26,Canada,Toronto,Online,Instagram,667.16,42.87,24.42,80.06,Credit Card,COA-5026,2025-04-13 00:00:00,N,,https://example.com/export_permit_26.pdf,11.81,14.26,7.88,,,,,,,,
S-0028,2025-07-07,I-0028,B-2025-028,Gemstone,Topaz,AAA,Coated,Green,1,Retail Collector,Customer 27,Canada,Vancouver,In-Person,Referral,119.57,43.18,38.75,14.35,PayPal,COA-5027,2025-12-06 00:00:00,Y,,https://example.com/export_permit_27.pdf,3.96,6.65,19.37,,,,,,,,
S-0029,2025-09-28,I-0029,B-2025-029,Gemstone,Quartz,AAA,Coated,Yellow,4,Gallery,Customer 28,Canada,Vancouver,In-Person,Instagram,447.03,3.2,9.01,53.64,Credit Card,COA-5028,2025-07-19 00:00:00,N,,https://example.com/export_permit_28.pdf,5.73,9.39,14.39,,,,,,,,
S-0030,2025-07-09,I-0030,B-2025-030,Gemstone,Quartz,A,Coated,Orange,2,Retail Collector,Customer 29,USA,New York,Online,Instagram,741.37,12.32,29.69,88.96,PayPal,COA-5029,2025-09-12 00:00:00,Y,StoneHouse,https://example.com/export_permit_29.pdf,5.56,6.05,2.02,,,,,,,,
S-0031,2025-06-24,I-0031,B-2025-031,Gemstone,Topaz,A,Coated,Orange,4,Gallery,Customer 30,Canada,Toronto,In-Person,Website,190.26,14.77,21.68,22.83,Credit Card,COA-5030,2025-06-06 00:00:00,N,,https://example.com/export_permit_30.pdf,6.8,11.85,18.57,,,,,,,,
S-0032,2025-02-20,I-0032,B-2025-032,Gemstone,Quartz,A,Coated,Red,4,Retail Collector,Customer 31,Canada,Vancouver,Wholesale,Website,671.68,11.1,7.56,80.6,Bank Transfer,COA-5031,2025-02-27 00:00:00,N,,https://example.com/export_permit_31.pdf,14.38,14.4,5.85,,,,,,,,
S-0033,2025-02-24,I-0033,B-2025-033,Gemstone,Topaz,A,Coated,Blue,3,Gallery,Customer 32,USA,Seattle,In-Person,Instagram,583.13,43.34,36.34,69.98,Credit Card,COA-5032,2025-12-22 00:00:00,N,,https://example.com/export_permit_32.pdf,14.86,14.71,16.12,,,,,,,,
S-0034,2025-09-01,I-0034,B-2025-034,Gemstone,Quartz,AAA,Coated,Yellow,3,Retail Collector,Customer 33,USA,Seattle,In-Person,Walk-in,173.26,13.29,26.86,20.79,Credit Card,COA-5033,2025-11-09 00:00:00,N,,https://example.com/export_permit_33.pdf,3.96,6.03,16.97,,,,,,,,
S-0035,2025-05-11,I-0035,B-2025-035,Gemstone,Topaz,A,Coated,Yellow,4,Retail Collector,Customer 34,USA,Los Angeles,Online,Instagram,541.5,26.11,25.4,64.98,Bank Transfer,COA-5034,2025-06-02 00:00:00,Y,NorthArt,https://example.com/export_permit_34.pdf,12.18,14.87,4.09,,,,,,,,
S-0036,2025-11-03,I-0036,B-2025-036,Gemstone,Opal,AAA,Coated,Purple,2,Gallery,Customer 35,USA,Los Angeles,In-Person,Referral,42.16,19.01,8.08,5.06,Bank Transfer,COA-5035,2025-04-04 00:00:00,Y,,https://example.com/export_permit_35.pdf,10.83,11.75,12.98,,,,,,,,
S-0037,2025-05-15,I-0037,B-2025-037,Gemstone,Topaz,A,Coated,Yellow,1,Gallery,Customer 36,USA,New York,In-Person,Referral,771.01,43.52,28.52,92.52,Bank Transfer,COA-5036,2025-03-12 00:00:00,N,,https://example.com/export_permit_36.pdf,12.22,2.35,19.09,,,,,,,,
S-0038,2025-01-21,I-0038,B-2025-038,Gemstone,Spinel,AAA,Coated,Blue,4,Retail Collector,Customer 37,Canada,Toronto,In-Person,Instagram,160.22,4.9,15.72,19.23,PayPal,COA-5037,2025-04-28 00:00:00,Y,,https://example.com/export_permit_37.pdf,3.32,7.91,10.58,,,,,,,,
S-0039,2025-06-16,I-0039,B-2025-039,Gemstone,Topaz,A,Coated,Orange,2,Retail Collector,Customer 38,USA,Los Angeles,Wholesale,Website,427.48,26.38,26.2,51.3,PayPal,COA-5038,2025-08-01 00:00:00,N,,https://example.com/export_permit_38.pdf,7.66,13.34,17.73,,,,,,,,
S-0040,2025-10-01,I-0040,B-2025-040,Gemstone,Spinel,AA,Coated,Purple,3,Retail Collector,Customer 39,Canada,Calgary,Online,Referral,470.35,49.87,31.3,56.44,Bank Transfer,COA-5039,2025-04-03 00:00:00,N,,https://example.com/export_permit_39.pdf,8.59,14.74,8.79,,,,,,,,
S-0041,2025-03-30,I-0041,B-2025-041,Gemstone,Opal,A,Coated,Green,4,Gallery,Customer 40,Canada,Toronto,Wholesale,Walk-in,660.57,31.69,12.77,79.27,PayPal,COA-5040,2025-04-06 00:00:00,Y,,https://example.com/export_permit_40.pdf,13.22,5.23,19.18,,,,,,,,
S-0042,2025-01-14,I-0042,B-2025-042,Gemstone,Garnet,A,Coated,Purple,1,Retail Collector,Customer 41,USA,Seattle,Wholesale,Instagram,552.17,19.46,29.35,66.26,Credit Card,COA-5041,2025-12-21 00:00:00,Y,GemWorld,https://example.com/export_permit_41.pdf,11.56,5.28,1.83,,,,,,,,
S-0043,2025-08-30,I-0043,B-2025-043,Gemstone,Topaz,AA,Coated,Yellow,4,Retail Collector,Customer 42,USA,Portland,Wholesale,Website,749.42,40.1,13.69,89.93,PayPal,COA-5042,2025-11-19 00:00:00,N,,https://example.com/export_permit_42.pdf,13.05,7.31,15.02,,,,,,,,
S-0044,2025-09-22,I-0044,B-2025-044,Gemstone,Opal,AA,Coated,Purple,1,Retail Collector,Customer 43,Canada,Vancouver,Wholesale,Walk-in,366.31,42.31,6.16,43.96,Bank Transfer,COA-5043,2025-10-22 00:00:00,Y,NorthArt,https://example.com/export_permit_43.pdf,14.99,4.84,9.05,,,,,,,,
S-0045,2025-02-22,I-0045,B-2025-045,Gemstone,Opal,AAA,Coated,Purple,3,Gallery,Customer 44,Canada,Calgary,Wholesale,Instagram,528.36,36.08,6.15,63.4,Bank Transfer,COA-5044,2025-10-09 00:00:00,Y,,https://example.com/export_permit_44.pdf,14.89,11.48,10.3,,,,,,,,
S-0046,2025-04-02,I-0046,B-2025-046,Gemstone,Quartz,AAA,Coated,Orange,3,Gallery,Customer 45,Canada,Toronto,Online,Walk-in,684.42,34.93,10.57,82.13,Bank Transfer,COA-5045,2025-07-20 00:00:00,N,,https://example.com/export_permit_45.pdf,5.89,12.03,3.96,,,,,,,,
S-0047,2025-09-21,I-0047,B-2025-047,Gemstone,Topaz,A,Coated,Green,1,Retail Collector,Customer 46,USA,Los Angeles,In-Person,Referral,192.72,0.68,28.53,23.13,PayPal,COA-5046,2025-12-03 00:00:00,N,,https://example.com/export_permit_46.pdf,2.69,12.91,14.62,,,,,,,,
S-0048,2025-02-04,I-0048,B-2025-048,Gemstone,Garnet,AA,Coated,Green,4,Gallery,Customer 47,USA,Seattle,Wholesale,Walk-in,728.38,47.83,12.79,87.41,Bank Transfer,COA-5047,2025-08-22 00:00:00,N,,https://example.com/export_permit_47.pdf,6.27,6.75,10.18,,,,,,,,
S-0049,2025-07-25,I-0049,B-2025-049,Gemstone,Garnet,A,Coated,Red,2,Retail Collector,Customer 48,Canada,Vancouver,In-Person,Website,443.58,18.12,7.23,53.23,Bank Transfer,COA-5048,2025-03-12 00:00:00,Y,NorthArt,https://example.com/export_permit_48.pdf,3.68,13.47,13.92,,,,,,,,
S-0050,2025-03-22,I-0050,B-2025-050,Gemstone,Opal,AAA,Coated,Yellow,3,Retail Collector,Customer 49,Canada,Montreal,In-Person,Instagram,486.02,26.61,22.82,58.32,Credit Card,COA-5049,2025-06-01 00:00:00,N,,https://example.com/export_permit_49.pdf,6.74,3.67,10.93,,,,,,,,
S-0051,2025-02-19,I-0051,B-2025-051,Gemstone,Quartz,A,Coated,Blue,1,Retail Collector,Customer 50,USA,Los Angeles,Online,Referral,444.41,28.69,15.6,53.33,Credit Card,COA-5050,2025-01-15 00:00:00,N,,https://example.com/export_permit_50.pdf,3.63,14.18,2.53,,,,,,,,
S-0052,2025-01-02,I-0052,B-2025-052,Gemstone,Topaz,A,Coated,Green,3,Retail Collector,Customer 51,USA,Los Angeles,In-Person,Walk-in,447.39,43.36,9.01,53.69,Credit Card,COA-5051,2025-02-21 00:00:00,Y,,https://example.com/export_permit_51.pdf,12.73,12.91,11.77,,,,,,,,
S-0053,2025-02-23,I-0053,B-2025-053,Gemstone,Opal,AAA,Coated,Yellow,3,Retail Collector,Customer 52,USA,Los Angeles,Online,Walk-in,726.34,48.3,17.25,87.16,Bank Transfer,COA-5052,2025-06-14 00:00:00,Y,,https://example.com/export_permit_52.pdf,4.62,3.14,12.44,,,,,,,,
S-0054,2025-04-16,I-0054,B-2025-054,Gemstone,Opal,A,Coated,Yellow,4,Gallery,Customer 53,USA,New York,In-Person,Website,219.13,40.08,10.69,26.3,Bank Transfer,COA-5053,2025-08-24 00:00:00,Y,StoneHouse,https://example.com/export_permit_53.pdf,10.14,4.19,8.97,,,,,,,,
S-0055,2025-09-17,I-0055,B-2025-055,Gemstone,Spinel,A,Coated,Yellow,1,Gallery,Customer 54,Canada,Toronto,Wholesale,Instagram,169.14,42.85,20.2,20.3,PayPal,COA-5054,2025-12-03 00:00:00,N,,https://example.com/export_permit_54.pdf,14.48,14.8,3.95,,,,,,,,
S-0056,2025-11-06,I-0056,B-2025-056,Gemstone,Garnet,A,Coated,Green,2,Gallery,Customer 55,Canada,Calgary,Wholesale,Walk-in,256.22,22.86,12.08,30.75,PayPal,COA-5055,2025-05-12 00:00:00,N,,https://example.com/export_permit_55.pdf,7.19,2.8,1.31,,,,,,,,
S-0057,2025-07-10,I-0057,B-2025-057,Gemstone,Spinel,AA,Coated,Green,4,Retail Collector,Customer 56,Canada,Vancouver,Online,Instagram,217.18,34.8,21.51,26.06,PayPal,COA-5056,2025-07-09 00:00:00,Y,NorthArt,https://example.com/export_permit_56.pdf,4.3,4.33,16.08,,,,,,,,
S-0058,2025-08-06,I-0058,B-2025-058,Gemstone,Garnet,A,Coated,Blue,4,Gallery,Customer 57,USA,Portland,Online,Website,789.08,11.05,27.13,94.69,Credit Card,COA-5057,2025-03-30 00:00:00,N,,https://example.com/export_permit_57.pdf,10.65,4.82,3.67,,,,,,,,
S-0059,2025-02-13,I-0059,B-2025-059,Gemstone,Garnet,AA,Coated,Green,3,Gallery,Customer 58,Canada,Vancouver,Online,Website,742.19,37.34,29.3,89.06,Credit Card,COA-5058,2025-10-14 00:00:00,Y,GemWorld,https://example.com/export_permit_58.pdf,14.89,11.93,1.87,,,,,,,,
S-0060,2025-06-11,I-0060,B-2025-060,Gemstone,Opal,A,Coated,Red,2,Retail Collector,Customer 59,Canada,Toronto,In-Person,Website,580.23,5.96,33,69.63,Credit Card,COA-5059,2025-11-02 00:00:00,N,,https://example.com/export_permit_59.pdf,4.31,5.67,3.23,,,,,,,,
S-0061,2025-07-21,I-0061,B-2025-061,Gemstone,Garnet,A,Coated,Green,2,Gallery,Customer 60,USA,Portland,Wholesale,Instagram,259.67,16.2,19.87,31.16,Bank Transfer,COA-5060,2025-03-15 00:00:00,N,,https://example.com/export_permit_60.pdf,8.64,11.53,2.18,,,,,,,,
S-0062,2025-09-27,I-0062,B-2025-062,Gemstone,Topaz,AAA,Coated,Green,2,Gallery,Customer 61,Canada,Vancouver,In-Person,Website,649.57,27.79,17.22,77.95,Credit Card,COA-5061,2025-01-18 00:00:00,Y,,https://example.com/export_permit_61.pdf,5.68,3.57,3.58,,,,,,,,
S-0063,2025-10-31,I-0063,B-2025-063,Gemstone,Quartz,A,Coated,Green,1,Gallery,Customer 62,Canada,Montreal,In-Person,Website,743.31,8.98,22.62,89.2,PayPal,COA-5062,2025-10-24 00:00:00,N,,https://example.com/export_permit_62.pdf,5.44,5.37,5.53,,,,,,,,
S-0064,2025-09-28,I-0064,B-2025-064,Gemstone,Topaz,AA,Coated,Orange,2,Gallery,Customer 63,USA,New York,Wholesale,Walk-in,486.9,38.66,13.17,58.43,Bank Transfer,COA-5063,2025-09-10 00:00:00,Y,GemWorld,https://example.com/export_permit_63.pdf,3.95,14.93,0.99,,,,,,,,
S-0065,2025-08-03,I-0065,B-2025-065,Gemstone,Quartz,AAA,Coated,Red,3,Gallery,Customer 64,Canada,Calgary,In-Person,Website,637.25,12.01,15.14,76.47,PayPal,COA-5064,2025-11-30 00:00:00,Y,GemWorld,https://example.com/export_permit_64.pdf,9.91,11.94,18.76,,,,,,,,
S-0066,2025-09-09,I-0066,B-2025-066,Gemstone,Spinel,AAA,Coated,Green,1,Retail Collector,Customer 65,USA,Portland,Wholesale,Referral,332.53,39.59,24.81,39.9,PayPal,COA-5065,2025-11-26 00:00:00,N,,https://example.com/export_permit_65.pdf,5.75,11.92,17.39,,,,,,,,
S-0067,2025-07-09,I-0067,B-2025-067,Gemstone,Spinel,AA,Coated,Green,2,Retail Collector,Customer 66,Canada,Calgary,Wholesale,Instagram,170.91,39.53,16.21,20.51,Credit Card,COA-5066,2025-12-13 00:00:00,Y,GemWorld,https://example.com/export_permit_66.pdf,8.35,6.25,5.84,,,,,,,,
S-0068,2025-10-23,I-0068,B-2025-068,Gemstone,Quartz,AAA,Coated,Red,2,Retail Collector,Customer 67,USA,Seattle,Wholesale,Referral,670.71,43.76,36.39,80.49,PayPal,COA-5067,2025-03-01 00:00:00,Y,,https://example.com/export_permit_67.pdf,11.8,2.9,19.17,,,,,,,,
S-0069,2025-08-01,I-0069,B-2025-069,Gemstone,Topaz,AA,Coated,Blue,1,Gallery,Customer 68,USA,New York,Wholesale,Website,663.09,34.95,38.12,79.57,PayPal,COA-5068,2025-03-01 00:00:00,N,,https://example.com/export_permit_68.pdf,8.97,9.59,14.33,,,,,,,,
S-0070,2025-07-27,I-0070,B-2025-070,Gemstone,Garnet,AA,Coated,Orange,1,Retail Collector,Customer 69,USA,New York,In-Person,Website,750.81,22,21.1,90.1,PayPal,COA-5069,2025-02-05 00:00:00,Y,,https://example.com/export_permit_69.pdf,6.09,14.68,12.38,,,,,,,,
S-0071,2025-08-25,I-0071,B-2025-071,Gemstone,Quartz,AA,Coated,Red,1,Retail Collector,Customer 70,Canada,Montreal,Wholesale,Website,753.52,27.66,7.5,90.42,Bank Transfer,COA-5070,2025-09-04 00:00:00,N,,https://example.com/export_permit_70.pdf,8.34,14.35,8.49,,,,,,,,
S-0072,2025-02-22,I-0072,B-2025-072,Gemstone,Garnet,AAA,Coated,Orange,2,Gallery,Customer 71,USA,Portland,Wholesale,Walk-in,444.61,29.56,30.05,53.35,PayPal,COA-5071,2025-12-08 00:00:00,Y,NorthArt,https://example.com/export_permit_71.pdf,2.6,7.15,18.57,,,,,,,,
S-0073,2025-10-07,I-0073,B-2025-073,Gemstone,Spinel,A,Coated,Purple,1,Gallery,Customer 72,Canada,Vancouver,Online,Instagram,208.96,0.37,37.92,25.08,PayPal,COA-5072,2025-05-09 00:00:00,N,,https://example.com/export_permit_72.pdf,12.05,10.22,3.65,,,,,,,,
S-0074,2025-08-05,I-0074,B-2025-074,Gemstone,Topaz,A,Coated,Yellow,3,Gallery,Customer 73,Canada,Vancouver,In-Person,Website,192.5,41.59,24.88,23.1,PayPal,COA-5073,2025-10-12 00:00:00,Y,GemWorld,https://example.com/export_permit_73.pdf,4.3,2.49,4.02,,,,,,,,
S-0075,2025-09-09,I-0075,B-2025-075,Gemstone,Spinel,AAA,Coated,Orange,1,Retail Collector,Customer 74,USA,Los Angeles,Wholesale,Website,656.14,17.45,10.92,78.74,Credit Card,COA-5074,2025-01-26 00:00:00,Y,NorthArt,https://example.com/export_permit_74.pdf,13.15,8.71,13.84,,,,,,,,
S-0076,2025-07-07,I-0076,B-2025-076,Gemstone,Quartz,AAA,Coated,Green,2,Retail Collector,Customer 75,USA,Seattle,Online,Referral,596.06,49.67,10.59,71.53,PayPal,COA-5075,2025-06-18 00:00:00,Y,StoneHouse,https://example.com/export_permit_75.pdf,8.11,4.08,5,,,,,,,,
S-0077,2025-02-10,I-0077,B-2025-077,Gemstone,Spinel,AA,Coated,Orange,1,Retail Collector,Customer 76,Canada,Montreal,Online,Referral,519.5,37.1,32.27,62.34,PayPal,COA-5076,2025-11-08 00:00:00,Y,NorthArt,https://example.com/export_permit_76.pdf,9.45,2.11,1.43,,,,,,,,
S-0078,2025-06-06,I-0078,B-2025-078,Gemstone,Garnet,AA,Coated,Red,1,Retail Collector,Customer 77,USA,Los Angeles,Online,Website,611.72,6.77,24.14,73.41,Bank Transfer,COA-5077,2025-09-11 00:00:00,N,,https://example.com/export_permit_77.pdf,8.6,11.91,5.68,,,,,,,,
S-0079,2025-01-15,I-0079,B-2025-079,Gemstone,Quartz,AAA,Coated,Yellow,3,Gallery,Customer 78,Canada,Toronto,In-Person,Website,249.54,5.06,20.96,29.94,PayPal,COA-5078,2025-09-19 00:00:00,Y,GemWorld,https://example.com/export_permit_78.pdf,6.73,3.68,2.77,,,,,,,,
S-0080,2025-10-28,I-0080,B-2025-080,Gemstone,Quartz,AA,Coated,Yellow,3,Retail Collector,Customer 79,Canada,Calgary,Online,Referral,370.68,33.55,20.74,44.48,PayPal,COA-5079,2025-07-19 00:00:00,N,,https://example.com/export_permit_79.pdf,5.55,2.14,17.16,,,,,,,,
S-0081,2025-03-06,I-0081,B-2025-081,Gemstone,Topaz,AAA,Coated,Blue,3,Retail Collector,Customer 80,Canada,Toronto,Wholesale,Walk-in,662.99,47,37.37,79.56,PayPal,COA-5080,2025-03-13 00:00:00,N,,https://example.com/export_permit_80.pdf,5.37,11.6,5.45,,,,,,,,
S-0082,2025-01-09,I-0082,B-2025-082,Gemstone,Spinel,AAA,Coated,Orange,3,Gallery,Customer 81,Canada,Calgary,In-Person,Walk-in,464.48,18.8,15.92,55.74,Bank Transfer,COA-5081,2025-06-24 00:00:00,N,,https://example.com/export_permit_81.pdf,11.83,4.37,2.19,,,,,,,,
S-0083,2025-05-09,I-0083,B-2025-083,Gemstone,Topaz,AAA,Coated,Orange,4,Gallery,Customer 82,Canada,Calgary,Online,Instagram,206.69,27.44,22.04,24.8,Bank Transfer,COA-5082,2025-03-19 00:00:00,Y,StoneHouse,https://example.com/export_permit_82.pdf,13.06,12.05,15.33,,,,,,,,
S-0084,2025-05-16,I-0084,B-2025-084,Gemstone,Topaz,AA,Coated,Purple,1,Retail Collector,Customer 83,USA,Portland,Online,Website,635.08,34.29,14.09,76.21,Bank Transfer,COA-5083,2025-02-02 00:00:00,Y,NorthArt,https://example.com/export_permit_83.pdf,3.09,10.94,18.43,,,,,,,,
